epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,5732.01,1.25466,2.03749,1.49553,1.55956,0,0.6489,0.62273,0.63796,0.42542,0.68043,0.62211,0.64788,0.40562,1.28221,1.59665,1.42363,1.57283,0,0.0006535,0.0006535,0.0006535
72,5812.09,1.25874,1.99517,1.50253,1.56147,0,0.64496,0.63376,0.65901,0.44461,0.62875,0.62977,0.64978,0.41201,1.27932,1.58158,1.42259,1.54504,0,0.00064855,0.00064855,0.00064855
73,5892.89,1.26634,2.03723,1.51849,1.57117,0,0.60622,0.61049,0.63458,0.43154,0.60875,0.59801,0.62173,0.39624,1.27121,1.62198,1.47145,1.56509,0,0.0006436,0.0006436,0.0006436
74,5974.51,1.24937,2.01042,1.48768,1.55808,0,0.67148,0.61484,0.63961,0.43435,0.66566,0.62554,0.64201,0.39484,1.26476,1.61532,1.47339,1.55307,0,0.00063865,0.00063865,0.00063865
75,6055.13,1.24716,1.98186,1.48001,1.55301,0,0.7277,0.61246,0.64508,0.43231,0.6628,0.61961,0.63419,0.40694,1.21868,1.57506,1.464,1.5463,0,0.0006337,0.0006337,0.0006337
76,6135.92,1.25089,2.00333,1.48673,1.55488,0,0.81768,0.55768,0.63299,0.4225,0.58634,0.6246,0.61089,0.39875,1.23956,1.59697,1.49279,1.55258,0,0.00062875,0.00062875,0.00062875
77,6216.12,1.22933,2.00553,1.47927,1.5368,0,0.75973,0.58871,0.64924,0.44445,0.70512,0.60431,0.64453,0.40569,1.24627,1.58197,1.4373,1.52037,0,0.0006238,0.0006238,0.0006238
78,6296.06,1.24094,2.02785,1.47427,1.53902,0,0.7226,0.59369,0.6466,0.4272,0.67604,0.57637,0.62607,0.39578,1.24437,1.62982,1.48104,1.57188,0,0.00061885,0.00061885,0.00061885
79,6376.71,1.24229,1.99915,1.46355,1.54479,0,0.67487,0.61111,0.63102,0.43628,0.71261,0.59616,0.63169,0.39937,1.25054,1.58743,1.5073,1.56115,0,0.0006139,0.0006139,0.0006139
80,6457.82,1.23828,1.99715,1.46822,1.54644,0,0.69939,0.6152,0.64576,0.43796,0.68067,0.60647,0.64106,0.39948,1.25328,1.57485,1.42882,1.55706,0,0.00060895,0.00060895,0.00060895
81,6539.39,1.20779,1.9744,1.42295,1.52782,0,0.63224,0.64371,0.63406,0.42811,0.75799,0.58669,0.62231,0.39759,1.24361,1.59553,1.49842,1.5426,0,0.000604,0.000604,0.000604
82,6620.22,1.19837,1.91605,1.41369,1.51887,0,0.6938,0.59918,0.62544,0.42786,0.68237,0.59985,0.62225,0.39506,1.22375,1.60615,1.47604,1.51742,0,0.00059905,0.00059905,0.00059905
83,6701.06,1.21397,1.9651,1.43708,1.5302,0,0.79247,0.56398,0.65305,0.45558,0.65306,0.63016,0.63637,0.41337,1.22528,1.58888,1.45335,1.52559,0,0.0005941,0.0005941,0.0005941
84,6781.74,1.20919,1.96829,1.45667,1.53609,0,0.78236,0.59869,0.66,0.46366,0.76076,0.58246,0.63749,0.42179,1.23064,1.58993,1.43864,1.5144,0,0.00058915,0.00058915,0.00058915
85,6862.76,1.20694,1.93881,1.43496,1.52107,0,0.61162,0.65835,0.63661,0.43448,0.60075,0.64637,0.62103,0.40325,1.22568,1.58057,1.4652,1.52232,0,0.0005842,0.0005842,0.0005842
86,6943.9,1.20028,1.9432,1.41673,1.51507,0,0.71164,0.63059,0.66097,0.44559,0.69396,0.63533,0.65657,0.4227,1.21283,1.57505,1.38307,1.50247,0,0.00057925,0.00057925,0.00057925
87,7023.91,1.19581,1.93531,1.41307,1.50554,0,0.56644,0.67299,0.65482,0.46487,0.8047,0.54998,0.65655,0.42312,1.189,1.56032,1.41935,1.50414,0,0.0005743,0.0005743,0.0005743
88,7104.28,1.20634,1.96724,1.42596,1.51514,0,0.72097,0.6161,0.6663,0.45791,0.71109,0.61371,0.66015,0.4234,1.2237,1.59027,1.41317,1.496,0,0.00056935,0.00056935,0.00056935
89,7184.23,1.21337,1.949,1.43001,1.52503,0,0.65983,0.62442,0.65962,0.46862,0.64721,0.61629,0.64844,0.43006,1.16449,1.5508,1.38106,1.49137,0,0.0005644,0.0005644,0.0005644
90,7264.7,1.19254,1.91732,1.39253,1.49707,0,0.67565,0.6647,0.67172,0.47857,0.65664,0.65375,0.66154,0.4347,1.1415,1.58239,1.36436,1.46973,0,0.00055945,0.00055945,0.00055945
91,7344.44,1.19866,1.93838,1.40267,1.51635,0,0.71651,0.613,0.66738,0.46412,0.67852,0.60165,0.64939,0.4242,1.20034,1.58173,1.38871,1.49373,0,0.0005545,0.0005545,0.0005545
92,7424.84,1.1953,1.93914,1.41007,1.51405,0,0.74147,0.61872,0.65858,0.47827,0.73367,0.62811,0.65853,0.43193,1.16814,1.58017,1.36539,1.46688,0,0.00054955,0.00054955,0.00054955
93,7505.75,1.1976,1.94018,1.37803,1.5181,0,0.70241,0.64454,0.66474,0.46924,0.70117,0.64606,0.65454,0.42782,1.14827,1.57163,1.3305,1.45175,0,0.0005446,0.0005446,0.0005446
